title,artist,estimated_year,spotify_track_id,isrc
One More Time - Radio Edit,Daft Punk,2000,2Uy6EhQXAYkXA6MohPgjpV,GBDUW0000054
Do You Believe In Love,Huey Lewis & The News,1982,43LjRHyyetSWnPpW7CWThG,USCH39200022
Good Time,"Owl City, Carly Rae Jepsen",2012,1kPpge9JDLpcj15qgrPbYX,USUM71206288
Waiting All Night (feat. Ella Eyre),"Rudimental, Ella Eyre",2013,6yraFyhgbavO2amB2lhpfi,GBAHS1200493
Physical - Remastered 2021,Olivia Newton-John,1981,6egmD7auKp3N7gy72uBnFQ,US86A2100406
Where Did Our Love Go,The Supremes,1964,69RH84na5iUNwrwxpgjC5j,USMO19290049
Sledgehammer,Peter Gabriel,1986,029NqmIySn1kOY305AAhxT,GBCPB1200864
Rudolph the Red-Nosed Reindeer,Gene Autry,1947,1dtIaSlyrLI04sqYa8nLyN,USSM10309761
By Your Side (feat. Tom Grennan),"Calvin Harris, Tom Grennan",2021,0vR2rIVORmgeKiGIgNT0fV,GBARL2100439
Girls & Boys,Blur,2000,5CeL9C3bsoe4yzYS1Qz8cw,GBAYE9400144
Super Freak,Rick James,1981,2dCmGcEOQrMQhMMS8Vj7Ca,USMO18100048
It's Raining Men,The Weather Girls,1982,2IvetNzSZMH5gwjInoyr18,USSM18200382
I’m On Fire,5000 Volts,2011,7bjtTJ4M10kpl2pGJxsg1Q,NLB127500218
Put Your Hands Up For Detroit - Radio Edit,Fedde Le Grand,2006,2tyMOrVliF1wRnumVdcEwP,GBHAD0600321
