title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",2019,6osaMSJh9NguagEDQcZaKx,USUG11901580,Carte Blanche,album,2019-07-25,185194,DJ Snake,10,1
Girl You Know It's True,Milli Vanilli,2013,0C7dYeCLF6ukChtW64UNge,DEC738800004,Girl You Know It's True - The Best Of Milli Vanilli,compilation,2013-07-26,198573,Milli Vanilli,1,1
Alles neu,Peter Fox,2008,5hqxBvQJ3XJDSbxT9vyyqA,DEA620800706,Stadtaffe,album,2008-09-26,260093,Peter Fox,1,1
Reggae Night,Jimmy Cliff,2002,1OE5bn5HUmCqTLNpo13ya3,USSM19917309,We All Are One: The Best Of Jimmy Cliff,compilation,2002-06-11,321600,Jimmy Cliff,10,1
World In Our Hands,Taio Cruz,2011,79xJXZeudmfMq4ay9yCFGd,GBUM71109576,TY.O (International Version),album,2011-01-01,199986,Taio Cruz,6,1
Mama Loo,Les Humphries Singers,1982,3Y37ytfQDMp2KTA1SG9bpl,DEA619351680,PORTRAIT - THE LES HUMPHRIES SINGERS,album,1982,249413,Les Humphries Singers,7,1
New York-Rio-Tokyo,Trio Rio,1986,68h3Um0UOY8FkMfcelv4Vb,DEHA68600002,Trio Rio,album,1986-05-05,281933,Trio Rio,2,1
Sunshine Reggae,Laid Back,2008,0z0JSkE5Nw3i3nin3BBSuG,DKABA0002801,Good Vibes - The Very Best of Laid Back,compilation,2008-10-06,257666,Laid Back,2,1
Sun of Jamaica,Goombay Dance Band,1980,5apwlmvQphkCJbHnMGUP2t,DEK897900010,Sun of Jamaica,album,1980-01-01,264000,Goombay Dance Band,7,1
Sweet Sixteen - Remastered 2001,Billy Idol,2001,3kyW3qviTr2dIyvqa1lEWC,USCH30100011,Greatest Hits,compilation,2001-01-01,254733,Billy Idol,11,1
All I Wanna Do,Sheryl Crow,1993,3ZpQiJ78LKINrW9SQTgbXd,USAM19300013,Tuesday Night Music Club,album,1993-08-03,272106,Sheryl Crow,9,1
"Ella, elle l'a",France Gall,2005,6fyyO9wAmiW9oEAXrOR8jQ,FRT198700050,Évidemment (Version Deluxe),compilation,2005-02-01,291400,France Gall,1,2
Sweat (A La La La La Long),Inner Circle,2010,1SssFw74DdHVjRa6ADggdD,USA2P1004785,Blazzin' Fire,album,2010-12-14,227067,Inner Circle,2,1
River,Tom Gregory,2021,5nD2zmNcN7jZ1lrdj4ZVxX,DEN062100149,River,single,2021-03-19,189995,Tom Gregory,1,1
"Boom, Boom, Boom, Boom!!",Vengaboys,1999,5N6M8yDiMV32T6Rkzh8EbW,NLC529811150,The Party Album!,album,1999-06-04,202583,Vengaboys,2,1
So schmeckt der Sommer,Edward Reekers,2019,0ftIaUx27vc9K0ztdiZgHf,DEF069516410,So klingt der Sommer,compilation,2019-06-14,217760,Various Artists,23,1
Boys - Summertime Love,Sabrina,1988,1uI848raFaNWwe9HjHpjQ5,GBJUT1009950,Sabrina,album,1988,234812,Sabrina,4,1
